B,metric,n_models,mean_hp,mean_tofu,cohens_d,p_wilcoxon,correct_direction
1,Centroid_Norm,0,,,,,
1,Global_Coherence,0,,,,,
1,Batch_SecondMoment_TopEig,0,,,,,
1,AUSS_L2,0,,,,,
1,AUSS_Cos2,0,,,,,
1,AUSS_Jac,0,,,,,
1,Batch_Cov_Trace,0,,,,,
1,Batch_Cov_TopEig,0,,,,,
2,Centroid_Norm,9,0.9606,0.9518,0.1402,0.8203,True
2,Global_Coherence,9,0.9606,0.9518,0.1402,0.8203,True
2,Batch_SecondMoment_TopEig,9,0.9286,0.9076,0.1871,0.7344,True
2,AUSS_L2,9,0.2909,0.3695,-0.1723,0.7344,True
2,AUSS_Cos2,9,0.2160,0.3122,-0.3137,0.4258,True
2,AUSS_Jac,9,0.4186,0.6000,-1.2531,0.0117,True
2,Batch_Cov_Trace,9,0.0727,0.0924,-0.1723,0.7344,True
2,Batch_Cov_TopEig,9,0.0727,0.0924,-0.1723,0.7344,True
5,Centroid_Norm,9,0.8811,0.8185,0.6376,0.1289,True
5,Global_Coherence,9,0.8811,0.8185,0.6376,0.1289,True
5,Batch_SecondMoment_TopEig,9,0.8229,0.7539,0.3547,0.3594,True
5,AUSS_L2,9,0.5361,0.8032,-0.6228,0.1289,True
5,AUSS_Cos2,9,0.3553,0.4881,-0.4027,0.3594,True
5,AUSS_Jac,9,0.5566,0.7030,-1.1795,0.0195,True
5,Batch_Cov_Trace,9,0.2144,0.3213,-0.6228,0.1289,True
5,Batch_Cov_TopEig,9,0.1606,0.1961,-0.4160,0.3008,True
10,Centroid_Norm,9,0.8080,0.6941,0.7227,0.1289,True
10,Global_Coherence,9,0.8080,0.6941,0.7227,0.1289,True
10,Batch_SecondMoment_TopEig,9,0.7118,0.6052,0.4164,0.3594,True
10,AUSS_L2,9,0.7452,1.1361,-0.7391,0.0977,True
10,AUSS_Cos2,9,0.4840,0.6399,-0.4924,0.3008,True
10,AUSS_Jac,9,0.6547,0.7748,-1.1828,0.0117,True
10,Batch_Cov_Trace,9,0.3353,0.5112,-0.7391,0.0977,True
10,Batch_Cov_TopEig,9,0.2059,0.2243,-0.1761,0.6523,True
20,Centroid_Norm,9,0.7039,0.5516,0.9215,0.0391,True
20,Global_Coherence,9,0.7039,0.5516,0.9215,0.0391,True
20,Batch_SecondMoment_TopEig,9,0.6116,0.5063,0.4307,0.3594,True
20,AUSS_L2,9,1.0297,1.4500,-0.9332,0.0391,True
20,AUSS_Cos2,9,0.6048,0.7165,-0.4660,0.3008,True
20,AUSS_Jac,9,0.7448,0.8096,-0.9716,0.0195,True
20,Batch_Cov_Trace,9,0.4891,0.6888,-0.9332,0.0391,True
20,Batch_Cov_TopEig,9,0.2602,0.2805,-0.2840,0.4258,True
50,Centroid_Norm,9,0.5674,0.3929,1.1300,0.0195,True
50,Global_Coherence,9,0.5674,0.3929,1.1300,0.0195,True
50,Batch_SecondMoment_TopEig,9,0.4898,0.4231,0.3705,0.5703,True
50,AUSS_L2,9,1.3590,1.7196,-1.0968,0.0195,True
50,AUSS_Cos2,9,0.7295,0.7863,-0.4301,0.2031,True
50,AUSS_Jac,9,0.8214,0.8409,-0.5399,0.1641,True
50,Batch_Cov_Trace,9,0.6653,0.8426,-1.1007,0.0195,True
50,Batch_Cov_TopEig,9,0.2980,0.3153,-0.3333,0.4258,True
