relative_depth,metric,n,mean_hp,mean_tofu,cohens_d,p_wilcoxon,correct_direction
0.2000,Centroid_Norm,9,0.6519,0.6081,0.4189,0.2500,True
0.2000,Global_Coherence,9,0.6519,0.6081,0.4189,0.2500,True
0.2000,Batch_SecondMoment_TopEig,9,0.6376,0.6471,-0.0944,0.9102,False
0.2000,AUSS_L2,9,1.2435,1.3894,-0.4845,0.2500,True
0.2000,AUSS_Cos2,9,0.5857,0.5816,0.0352,0.9102,False
0.2000,AUSS_Jac,9,0.7564,0.7774,-0.3441,0.4258,True
0.2000,Batch_Cov_Trace,9,0.5596,0.6252,-0.4845,0.2500,True
0.2000,Batch_Cov_TopEig,9,0.3721,0.3653,0.0873,1.0000,False
0.3000,Centroid_Norm,9,0.6884,0.6157,0.6728,0.1641,True
0.3000,Global_Coherence,9,0.6884,0.6157,0.6728,0.1641,True
0.3000,Batch_SecondMoment_TopEig,9,0.6889,0.6864,0.0171,0.9102,True
0.3000,AUSS_L2,9,1.1256,1.3693,-0.6979,0.2031,True
0.3000,AUSS_Cos2,9,0.5214,0.5442,-0.1217,0.6523,True
0.3000,AUSS_Jac,9,0.6941,0.7759,-0.8340,0.0547,True
0.3000,Batch_Cov_Trace,9,0.5065,0.6162,-0.6979,0.2031,True
0.3000,Batch_Cov_TopEig,9,0.3788,0.3953,-0.1778,0.5703,True
0.4000,Centroid_Norm,9,0.7351,0.6177,1.3443,0.0195,True
0.4000,Global_Coherence,9,0.7351,0.6177,1.3443,0.0195,True
0.4000,Batch_SecondMoment_TopEig,9,0.6807,0.6606,0.1148,0.6523,True
0.4000,AUSS_L2,9,0.9902,1.3639,-1.2991,0.0195,True
0.4000,AUSS_Cos2,9,0.5308,0.5771,-0.2227,0.5703,True
0.4000,AUSS_Jac,9,0.6669,0.7846,-1.2125,0.0078,True
0.4000,Batch_Cov_Trace,9,0.4456,0.6138,-1.2991,0.0195,True
0.4000,Batch_Cov_TopEig,9,0.3200,0.3775,-0.8365,0.0742,True
0.5000,Centroid_Norm,9,0.7514,0.6145,1.5122,0.0039,True
0.5000,Global_Coherence,9,0.7514,0.6145,1.5122,0.0039,True
0.5000,Batch_SecondMoment_TopEig,9,0.6732,0.6283,0.2129,0.5703,True
0.5000,AUSS_L2,9,0.9385,1.3720,-1.4187,0.0039,True
0.5000,AUSS_Cos2,9,0.5404,0.6160,-0.3090,0.4961,True
0.5000,AUSS_Jac,9,0.6639,0.7962,-1.4411,0.0039,True
0.5000,Batch_Cov_Trace,9,0.4223,0.6174,-1.4187,0.0039,True
0.5000,Batch_Cov_TopEig,9,0.2847,0.3542,-1.4246,0.0117,True
0.6000,Centroid_Norm,9,0.7872,0.6093,1.7160,0.0039,True
0.6000,Global_Coherence,9,0.7872,0.6093,1.7160,0.0039,True
0.6000,Batch_SecondMoment_TopEig,9,0.7012,0.5728,0.5321,0.1641,True
0.6000,AUSS_L2,9,0.8162,1.3859,-1.6174,0.0039,True
0.6000,AUSS_Cos2,9,0.5080,0.6786,-0.6041,0.0977,True
0.6000,AUSS_Jac,9,0.6678,0.8055,-1.8148,0.0039,True
0.6000,Batch_Cov_Trace,9,0.3673,0.6236,-1.6174,0.0039,True
0.6000,Batch_Cov_TopEig,9,0.2309,0.3135,-2.1011,0.0039,True
0.7000,Centroid_Norm,9,0.8327,0.6057,2.2057,0.0039,True
0.7000,Global_Coherence,9,0.8327,0.6057,2.2057,0.0039,True
0.7000,Batch_SecondMoment_TopEig,9,0.7375,0.5134,0.8408,0.0742,True
0.7000,AUSS_L2,9,0.6577,1.3979,-2.0423,0.0039,True
0.7000,AUSS_Cos2,9,0.4532,0.7471,-0.9561,0.0391,True
0.7000,AUSS_Jac,9,0.6582,0.8290,-2.1543,0.0039,True
0.7000,Batch_Cov_Trace,9,0.2960,0.6291,-2.0423,0.0039,True
0.7000,Batch_Cov_TopEig,9,0.1679,0.2683,-2.5988,0.0039,True
0.8000,Centroid_Norm,9,0.8900,0.5984,3.2978,0.0039,True
0.8000,Global_Coherence,9,0.8900,0.5984,3.2978,0.0039,True
0.8000,Batch_SecondMoment_TopEig,9,0.8144,0.4499,1.4860,0.0117,True
0.8000,AUSS_L2,9,0.4442,1.4220,-3.0097,0.0039,True
0.8000,AUSS_Cos2,9,0.3369,0.8190,-1.6471,0.0078,True
0.8000,AUSS_Jac,9,0.6462,0.8663,-2.5973,0.0039,True
0.8000,Batch_Cov_Trace,9,0.1999,0.6399,-3.0097,0.0039,True
0.8000,Batch_Cov_TopEig,9,0.0983,0.2207,-6.3145,0.0039,True
