model_id,hp_Reg_S_alpha_2,tofu_Reg_S_alpha_2,hp_Reg_S_alpha_1,tofu_Reg_S_alpha_1,hp_Reg_EffRank,tofu_Reg_EffRank,hp_Reg_MeanL2,tofu_Reg_MeanL2,hp_Reg_MeanCos,tofu_Reg_MeanCos,hp_AnonDiff_S_alpha_2,tofu_AnonDiff_S_alpha_2,hp_AnonDiff_S_alpha_1,tofu_AnonDiff_S_alpha_1,hp_AnonDiff_EffRank,tofu_AnonDiff_EffRank,hp_AnonDiff_MeanL2,tofu_AnonDiff_MeanL2,hp_AnonDiff_MeanCos,tofu_AnonDiff_MeanCos
Qwen/Qwen-7B-Chat,0.0071,0.0426,0.0593,0.2639,1.026,1.121,0.2632,0.2147,0.9951,0.9687,2.1242,2.4153,2.8273,4.1351,7.0973,17.5705,0.6206,0.9676,0.1484,0.2797
Qwen/Qwen-14B-Chat,0.0177,0.0898,0.1056,0.3808,1.0579,1.23,0.3262,0.2726,0.9898,0.9539,2.1904,2.9238,2.8411,4.1308,7.1655,17.5189,0.6101,0.9516,0.1405,0.28
Qwen/Qwen2.5-7B-Instruct,0.0022,0.0085,0.0142,0.0475,1.0093,1.0304,0.28,0.2582,0.999,0.996,2.1307,2.0892,2.8682,3.9928,7.3015,15.9201,1.1153,1.8757,0.161,0.3835
Qwen/Qwen2.5-14B-Instruct,0.0022,0.0074,0.0143,0.0424,1.0091,1.0272,0.4267,0.3718,0.999,0.9965,2.0438,1.9113,2.847,3.97,7.1949,15.6712,1.9562,3.2258,0.1643,0.3854
google/gemma-2b-it,0.3274,0.7565,1.2566,1.4465,2.1058,4.1131,216.8876,218.4489,0.8666,0.8453,1.8588,1.9523,2.5797,1.9227,5.9783,3.7914,3.9921,6.7186,0.1707,0.4043
google/gemma-7b-it,0.0532,0.1999,0.2831,0.8652,1.1766,1.6157,194.3304,197.5618,0.9733,0.8951,1.8124,1.8597,2.4521,1.6769,5.4721,3.1975,2.7536,4.583,0.1583,0.3806
meta-llama/Llama-2-7b-chat-hf,0.0068,0.0321,0.0593,0.2386,1.0264,1.1062,0.2041,0.184,0.9955,0.9752,0.0061,0.0011,2.9088,4.248,7.5101,19.0005,0.1029,0.192,0.1442,0.435
meta-llama/Llama-2-13b-chat-hf,0.0552,0.2212,0.3533,1.1203,1.1857,1.715,0.2237,0.1991,0.9674,0.8677,1.7143,0.4125,2.9274,4.2571,7.6076,19.1215,0.1761,0.4501,0.1248,0.5885
meta-llama/Meta-Llama-3-8B-Instruct,0.0453,0.1971,0.296,0.9471,1.1514,1.5977,0.1528,0.1451,0.9728,0.8933,0.0368,0.03,2.8899,4.3241,7.412,20.0301,0.0653,0.1099,0.1531,0.3822
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0381,0.1676,0.2573,0.8435,1.1275,1.4988,0.171,0.1609,0.9765,0.9067,0.0301,0.0234,2.8788,4.3298,7.3553,20.1091,0.0802,0.1353,0.1555,0.3928
