pair,label_a,label_b,metric,mean_a,mean_b,gap,ci_lo,ci_hi,d,p_raw,n,q_adj,sig
hp_forget_vs_tofu,HP-forget,TOFU,Centroid_Norm,0.8188849312287789,0.6479222984225662,0.17096263280621282,0.10483836799308106,0.2367748590531172,1.576660238553675,0.00390625,9,0.00625,**
hp_forget_vs_tofu,HP-forget,TOFU,Global_Coherence,0.8188849378515173,0.6479223867257438,0.1709625511257737,0.10483826285711044,0.2367748548587163,1.5766595118720084,0.00390625,9,0.00625,**
hp_forget_vs_tofu,HP-forget,TOFU,Batch_SecondMoment_TopEig,0.5564241475529141,0.34658428916224726,0.20983985839066682,0.1568416489771119,0.25348312553984154,2.5719731877976826,0.00390625,9,0.00625,**
hp_forget_vs_tofu,HP-forget,TOFU,AUSS_L2,0.7050635709806725,1.2753382281020835,0.5702746571214112,0.3477137950421484,0.7989986529366839,-1.5491463001408192,0.00390625,9,0.00625,**
hp_forget_vs_tofu,HP-forget,TOFU,AUSS_Cos2,0.4512638394479398,0.6865260347172066,0.27422791498678706,0.1540208160049386,0.4078360222004078,-0.9204668043641372,0.01953125,9,0.026041666666666668,*
hp_forget_vs_tofu,HP-forget,TOFU,AUSS_Jac,0.6496635675476518,0.8043155931749681,0.15465202562731656,0.10534377356467801,0.20573648553149526,-1.8738942078620822,0.00390625,9,0.00625,**
hp_forget_vs_tofu,HP-forget,TOFU,Batch_Cov_Trace,0.31727860923166623,0.5739022338831866,0.25662362465152033,0.1564712037228876,0.3595494022109994,-1.5491467119417863,0.00390625,9,0.00625,**
hp_forget_vs_tofu,HP-forget,TOFU,Batch_Cov_TopEig,0.19532914673564605,0.2724449038505554,0.08083304493791528,0.0493151106354263,0.11181752061540332,-1.3432372029302848,0.0078125,9,0.01171875,*
hp_retain_vs_tofu,HP-retain,TOFU,Centroid_Norm,0.9096042359316789,0.6479222984225662,0.26168193750911295,0.2091343270407783,0.31132033688050725,3.128015260744685,0.00390625,9,0.00625,**
hp_retain_vs_tofu,HP-retain,TOFU,Global_Coherence,0.9096042646302117,0.6479223867257438,0.2616818779044681,0.20913433145593713,0.31132021987879716,3.128016003416383,0.00390625,9,0.00625,**
