Metric,Group,Attack,rho,p,n,q_bh_per_attack,sig
AUSS_L2,AUSS dispersion,Steering,0.002544540474234027,0.9869211222015793,44,0.9869211222015795,
AUSS_Cos2,AUSS dispersion,Steering,0.05732284235010545,0.7116846562590539,44,0.9150231294759265,
Centroid_Norm,AUSS dispersion,Steering,-0.002544540474234027,0.9869211222015793,44,0.9869211222015795,
AnonDiff_MeanCos,AnonDiff,Steering,-0.23739367297278263,0.12075001115125812,44,0.2716875250903308,
AnonDiff_S_alpha_2,AnonDiff,Steering,0.4768991910376385,0.001064396940516231,44,0.00957957246464608,**
AnonDiff_MeanL2,AnonDiff,Steering,0.1445603142248696,0.34915491208017235,44,0.6284788417443102,
Reg_S_alpha_2,Reg,Steering,0.26567792747187213,0.08132455994121325,44,0.24397367982363974,
Reg_MeanCos,Reg,Steering,-0.3131108999480203,0.03849842678385258,44,0.1732429205273366,
Reg_MeanL2,Reg,Steering,-0.06965091157380308,0.6532458250979938,44,0.9150231294759265,
AUSS_L2,AUSS dispersion,ICL,-0.5069073066005998,0.000445733951446893,44,0.0016162074909684028,**
AUSS_Cos2,AUSS dispersion,ICL,-0.5006036367277988,0.0005387358303228009,44,0.0016162074909684028,**
Centroid_Norm,AUSS dispersion,ICL,0.5069073066005998,0.000445733951446893,44,0.0016162074909684028,**
AnonDiff_MeanCos,AnonDiff,ICL,0.27038373543897926,0.07587828425486307,44,0.1707261395734419,
AnonDiff_S_alpha_2,AnonDiff,ICL,-0.21689197413714623,0.1573093811969486,44,0.28315688615450746,
AnonDiff_MeanL2,AnonDiff,ICL,0.03835414890960398,0.8047693807854088,44,0.9053655533835849,
Reg_S_alpha_2,Reg,ICL,0.04624950367925848,0.765617506978901,44,0.9053655533835849,
Reg_MeanCos,Reg,ICL,0.013151019766483594,0.9324790163554558,44,0.9324790163554558,
Reg_MeanL2,Reg,ICL,-0.08628914723973445,0.5775683038494617,44,0.8663524557741925,
AUSS_L2,AUSS dispersion,GCG,-0.057502175589616386,0.7075174267273805,45,0.8530459439245262,
AUSS_Cos2,AUSS dispersion,GCG,-0.01324805025839201,0.9311695072834745,45,0.9311695072834745,
Centroid_Norm,AUSS dispersion,GCG,0.057502175589616386,0.7075174267273805,45,0.8530459439245262,
AnonDiff_MeanCos,AnonDiff,GCG,-0.08450643788978005,0.5810011150141918,45,0.8530459439245262,
AnonDiff_S_alpha_2,AnonDiff,GCG,0.22330994894081313,0.1403342927139958,45,0.3157521586064906,
AnonDiff_MeanL2,AnonDiff,GCG,-0.04718063948294266,0.7582630612662454,45,0.8530459439245262,
Reg_S_alpha_2,Reg,GCG,0.4505579948439953,0.001897416910015623,45,0.008538376095070304,**
Reg_MeanCos,Reg,GCG,-0.5075023026572366,0.0003732532508504317,45,0.0033592792576538854,**
Reg_MeanL2,Reg,GCG,-0.24433990568273123,0.10575269597758555,45,0.3157521586064906,
AUSS_L2,AUSS dispersion,MIA,0.03742467512192171,0.8094117313326794,44,0.8094117313326794,
AUSS_Cos2,AUSS dispersion,MIA,0.0995172152017956,0.5204076123332986,44,0.7806114184999479,
Centroid_Norm,AUSS dispersion,MIA,-0.03742467512192171,0.8094117313326794,44,0.8094117313326794,
AnonDiff_MeanCos,AnonDiff,MIA,-0.14485703214665907,0.3481560524543693,44,0.6266808944178648,
AnonDiff_S_alpha_2,AnonDiff,MIA,0.200296112771131,0.19236250025599705,44,0.5770875007679911,
AnonDiff_MeanL2,AnonDiff,MIA,-0.06976335987537728,0.6527214713098759,44,0.8094117313326794,
Reg_S_alpha_2,Reg,MIA,0.2921292885811359,0.05433109406812747,44,0.3349688570965734,
Reg_MeanCos,Reg,MIA,-0.27167284991711066,0.07443752379923854,44,0.3349688570965734,
Reg_MeanL2,Reg,MIA,-0.16153711371920595,0.294837574287797,44,0.6266808944178648,
