layer,metric,attack,rho,pval,n,family,q_per_attack,q_per_family,q_global,sig_per_attack,sig_per_family,sig_global
0,Centroid_Norm,Steering,-0.1929,0.4910,15,auss,0.9873,0.9577,0.9318,,,
0,Centroid_Norm,ICL,0.5848,0.0220,15,auss,0.0453,0.0306,0.1807,*,*,
0,Centroid_Norm,GCG,0.3155,0.2520,15,auss,0.5711,0.6276,0.7334,,,
0,Centroid_Norm,MIA,0.0714,0.8003,15,auss,0.9988,1.0000,0.9786,,,
0,Centroid_Norm,MIA_MinK,0.6455,0.0320,11,auss,0.6582,0.7671,0.2239,,,
0,Centroid_Norm,MIA_Ref,0.1818,0.5926,11,auss,0.9785,0.9434,0.9684,,,
0,Centroid_Norm,MIA_Hidden,-0.3455,0.2981,11,auss,0.9958,0.9939,0.7835,,,
0,Centroid_Norm,SPV_MIA,-0.1187,0.7281,11,auss,0.7657,0.7628,0.9786,,,
0,Global_Coherence,Steering,-0.1929,0.4910,15,auss,0.9873,0.9577,0.9318,,,
0,Global_Coherence,ICL,0.5848,0.0220,15,auss,0.0453,0.0306,0.1807,*,*,
0,Global_Coherence,GCG,0.3155,0.2520,15,auss,0.5711,0.6276,0.7334,,,
0,Global_Coherence,MIA,0.0714,0.8003,15,auss,0.9988,1.0000,0.9786,,,
0,Global_Coherence,MIA_MinK,0.6455,0.0320,11,auss,0.6582,0.7671,0.2239,,,
0,Global_Coherence,MIA_Ref,0.1818,0.5926,11,auss,0.9785,0.9434,0.9684,,,
0,Global_Coherence,MIA_Hidden,-0.3455,0.2981,11,auss,0.9958,0.9939,0.7835,,,
0,Global_Coherence,SPV_MIA,-0.1187,0.7281,11,auss,0.7657,0.7628,0.9786,,,
0,Batch_SecondMoment_TopEig,Steering,-0.1929,0.4910,15,auss,0.9873,0.9577,0.9318,,,
0,Batch_SecondMoment_TopEig,ICL,0.5848,0.0220,15,auss,0.0453,0.0306,0.1807,*,*,
0,Batch_SecondMoment_TopEig,GCG,0.3155,0.2520,15,auss,0.5711,0.6276,0.7334,,,
0,Batch_SecondMoment_TopEig,MIA,0.0714,0.8003,15,auss,0.9988,1.0000,0.9786,,,
0,Batch_SecondMoment_TopEig,MIA_MinK,0.6455,0.0320,11,auss,0.6582,0.7671,0.2239,,,
0,Batch_SecondMoment_TopEig,MIA_Ref,0.1818,0.5926,11,auss,0.9785,0.9434,0.9684,,,
0,Batch_SecondMoment_TopEig,MIA_Hidden,-0.3455,0.2981,11,auss,0.9958,0.9939,0.7835,,,
0,Batch_SecondMoment_TopEig,SPV_MIA,-0.1187,0.7281,11,auss,0.7657,0.7628,0.9786,,,
0,AUSS_L2,Steering,0.1929,0.4910,15,auss,0.9873,0.9577,0.9318,,,
0,AUSS_L2,ICL,-0.5848,0.0220,15,auss,0.0453,0.0306,0.1807,*,*,
0,AUSS_L2,GCG,-0.3155,0.2520,15,auss,0.5711,0.6276,0.7334,,,
0,AUSS_L2,MIA,-0.0714,0.8003,15,auss,0.9988,1.0000,0.9786,,,
0,AUSS_L2,MIA_MinK,-0.6455,0.0320,11,auss,0.6582,0.7671,0.2239,,,
0,AUSS_L2,MIA_Ref,-0.1818,0.5926,11,auss,0.9785,0.9434,0.9684,,,
0,AUSS_L2,MIA_Hidden,0.3455,0.2981,11,auss,0.9958,0.9939,0.7835,,,
0,AUSS_L2,SPV_MIA,0.1187,0.7281,11,auss,0.7657,0.7628,0.9786,,,
0,AUSS_Cos2,Steering,0.1929,0.4910,15,auss,0.9873,0.9577,0.9318,,,
0,AUSS_Cos2,ICL,-0.5848,0.0220,15,auss,0.0453,0.0306,0.1807,*,*,
