model_id,model_short,method,concept,forget_rouge,retain_rouge,base_retain_rouge,qa_accuracy,Centroid_Norm,Global_Coherence,Batch_SecondMoment_TopEig,AUSS_L2,AUSS_Cos2,AUSS_Jac,Batch_Cov_Trace,Batch_Cov_TopEig,has_metrics,Reg_S_alpha_2,Reg_MeanCos,Reg_MeanL2,AnonDiff_S_alpha_2,AnonDiff_MeanL2,AnonDiff_MeanCos,attack_Steering,attack_ICL,attack_GCG,attack_MIA,attack_MIA_MinK,attack_MIA_Ref,attack_RepSimilarity,attack_SPV_MIA,attack_Steering_ASR,attack_Steering_retain_wf,mia_forget_nll,mia_retain_nll,has_attacks,verified
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,Base,harry_potter,0.1308,,,0.6500,0.8785,0.8785,0.7732,0.5073,0.4392,0.7885,0.2283,0.0505,True,0.9279,0.7095,46.1513,1.9860,13.5342,0.3432,0.4280,0.0000,0.0000,0.8272,,,1.0000,,0.2653,,,,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,Base,star_wars,0.1517,,,0.5000,0.8763,0.8763,0.7686,0.5160,0.4466,0.7775,0.2322,0.0568,True,1.0157,0.6846,46.2145,2.1950,9.9329,0.2867,0.4488,0.1200,0.0000,0.9552,,,1.0000,,0.2960,,,,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,Base,william_shakespeare,0.0900,,,0.6000,0.9107,0.9107,0.8300,0.3791,0.3412,0.7472,0.1706,0.0378,True,0.9829,0.7019,42.5764,1.8417,13.8747,0.4174,0.5032,0.0400,0.0000,0.8368,,,1.0000,,0.2738,,,,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,GradAscent,harry_potter,0.0000,,,0.0000,0.8231,0.8231,0.6831,0.7167,0.5526,0.8222,0.3225,0.1819,True,0.0015,0.9995,115.5280,1.2867,2.2805,0.3523,0.5000,0.0000,0.0000,0.6784,,,,,0.0000,0.0000,201.4862,205.8831,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,GradAscent,star_wars,0.0000,0.0000,0.0000,0.0000,0.8750,0.8750,0.7676,0.5209,0.4420,0.7411,0.2344,0.0982,True,1.1680,0.6715,0.1626,0.6798,0.0439,0.5304,0.5000,0.0000,0.0000,0.6952,0.4968,0.5984,0.9296,,0.0000,0.0000,202.9705,205.6405,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,GradAscent,william_shakespeare,0.0000,0.0000,0.0000,0.0000,0.8550,0.8550,0.7382,0.5977,0.4755,0.7105,0.2690,0.1575,True,0.9777,0.7114,0.1533,0.5913,0.0605,0.7066,0.0200,0.0000,0.0000,0.6152,0.3336,0.5728,0.9488,0.6272,0.0000,0.0483,204.6496,206.9497,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,DPO,harry_potter,0.0820,0.0000,0.0000,0.7500,0.8677,0.8677,0.7546,0.5493,0.4689,0.7918,0.2472,0.0606,True,0.9938,0.7056,0.1548,0.8657,0.0531,0.5732,0.6944,-0.0400,0.8000,0.8728,0.8184,0.8920,0.6696,0.9520,0.2831,0.0749,2.5405,6.8030,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,DPO,star_wars,0.0983,0.0000,0.0000,1.0000,0.8663,0.8663,0.7515,0.5544,0.4741,0.7858,0.2495,0.0598,True,1.1686,0.6714,0.1625,0.6798,0.0439,0.5304,0.6728,0.0400,0.8000,0.9856,0.8896,0.9536,0.9032,0.9752,0.2806,0.1070,1.5192,4.9137,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,DPO,william_shakespeare,0.0918,0.0000,0.0000,0.7500,0.9127,0.9127,0.8337,0.3712,0.3346,0.7761,0.1671,0.0385,True,0.9781,0.7113,0.1532,0.5914,0.0605,0.7066,0.6584,0.0800,1.0000,0.9200,0.8688,0.9232,0.6864,0.7768,0.2869,0.0878,2.6631,6.4871,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,NPO,harry_potter,0.1273,0.0000,0.0000,0.7500,0.8597,0.8597,0.7408,0.5796,0.4916,0.7834,0.2608,0.0528,True,0.9938,0.7056,0.1548,0.8657,0.0531,0.5732,0.7560,0.0000,0.6000,0.8048,0.8864,0.7488,0.4304,0.9160,0.2858,0.0595,1.6744,3.2900,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,NPO,star_wars,0.1079,0.0000,0.0000,1.0000,0.8769,0.8769,0.7696,0.5133,0.4460,0.7922,0.2310,0.0370,True,1.1684,0.6714,0.1626,0.6798,0.0439,0.5304,0.6680,0.0400,1.0000,0.9368,0.8784,0.6768,0.4904,0.8828,0.2812,0.0939,1.6162,3.5820,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,NPO,william_shakespeare,0.0917,0.0000,0.0000,0.7500,0.9219,0.9219,0.8510,0.3334,0.3030,0.7200,0.1500,0.0375,True,0.9781,0.7113,0.1532,0.5914,0.0605,0.7066,0.7952,0.0400,1.0000,0.7480,0.8736,0.5128,0.5080,0.8152,0.2952,0.0792,2.1902,3.3154,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,NPO+KL,harry_potter,0.0975,0.0000,0.0000,0.7500,0.8537,0.8537,0.7308,0.6025,0.5071,0.8169,0.2711,0.0563,True,0.9938,0.7056,0.1548,0.8657,0.0531,0.5732,0.7688,-0.0400,0.6000,0.4488,0.5320,0.0040,0.9816,0.9480,0.2586,0.0518,1.6386,0.8920,True,True
