Model,Method,Concept,Forget ROUGE↓,Retain ROUGE↑,✓,Centroid_Norm↓,AUSS_L2↑,Steering AUC↓,Steering ASR↓,ICL Acc↓,GCG Acc↓,MIA AUC↓
Llama-2-7b-chat-hf,Base,harry_potter,0.131,,False,0.878,0.507,0.428,0.265,0.000,0.000,0.827
Llama-2-7b-chat-hf,GradAscent,harry_potter,0.000,,True,0.823,0.717,0.500,0.000,0.000,0.000,0.678
Llama-2-7b-chat-hf,DPO,harry_potter,0.082,0.000,True,0.868,0.549,0.694,0.283,-0.040,0.800,0.873
Llama-2-7b-chat-hf,NPO,harry_potter,0.127,0.000,False,0.860,0.580,0.756,0.286,0.000,0.600,0.805
Llama-2-7b-chat-hf,NPO+KL,harry_potter,0.098,0.000,True,0.854,0.602,0.769,0.259,-0.040,0.600,0.449
Llama-2-7b-chat-hf,RMU,harry_potter,0.131,,False,0.878,0.509,0.710,0.264,0.000,1.000,0.806
Llama-2-7b-chat-hf,WHP,harry_potter,0.255,,False,0.858,0.585,0.756,0.248,-0.040,0.000,0.442
Llama-2-7b-chat-hf,Base,star_wars,0.152,,False,0.876,0.516,0.449,0.296,0.120,0.000,0.955
Llama-2-7b-chat-hf,GradAscent,star_wars,0.000,0.000,True,0.875,0.521,0.500,0.000,0.000,0.000,0.695
Llama-2-7b-chat-hf,DPO,star_wars,0.098,0.000,True,0.866,0.554,0.673,0.281,0.040,0.800,0.986
Llama-2-7b-chat-hf,NPO,star_wars,0.108,0.000,False,0.877,0.513,0.668,0.281,0.040,1.000,0.937
Llama-2-7b-chat-hf,NPO+KL,star_wars,0.105,0.000,False,0.867,0.550,0.746,0.272,0.000,0.600,0.281
Llama-2-7b-chat-hf,RMU,star_wars,0.143,,False,0.876,0.519,0.694,0.300,0.040,1.000,0.951
Llama-2-7b-chat-hf,WHP,star_wars,0.175,,False,0.856,0.595,0.708,0.269,0.000,0.000,0.276
Llama-2-7b-chat-hf,Base,william_shakespeare,0.090,,False,0.911,0.379,0.503,0.274,0.040,0.000,0.837
Llama-2-7b-chat-hf,GradAscent,william_shakespeare,0.000,0.000,True,0.855,0.598,0.020,0.000,0.000,0.000,0.615
Llama-2-7b-chat-hf,DPO,william_shakespeare,0.092,0.000,True,0.913,0.371,0.658,0.287,0.080,1.000,0.920
Llama-2-7b-chat-hf,NPO,william_shakespeare,0.092,0.000,True,0.922,0.333,0.795,0.295,0.040,1.000,0.748
Llama-2-7b-chat-hf,NPO+KL,william_shakespeare,0.091,0.000,True,0.917,0.354,0.823,0.286,0.040,1.000,0.162
Llama-2-7b-chat-hf,RMU,william_shakespeare,0.100,,True,0.908,0.388,0.754,0.267,0.080,1.000,0.787
Llama-2-7b-chat-hf,WHP,william_shakespeare,0.135,,False,0.917,0.353,0.826,0.281,0.040,0.000,0.181
Meta-Llama-3-8B-Instruct,Base,harry_potter,0.062,,False,0.856,0.594,0.423,0.437,0.000,0.000,0.915
Meta-Llama-3-8B-Instruct,GradAscent,harry_potter,0.000,,True,0.872,0.534,0.500,0.000,0.000,0.000,0.700
Meta-Llama-3-8B-Instruct,DPO,harry_potter,0.000,,True,0.867,0.551,0.720,0.076,0.040,0.400,1.000
Meta-Llama-3-8B-Instruct,NPO,harry_potter,0.112,,False,0.863,0.566,0.930,0.493,0.000,1.000,0.817
Meta-Llama-3-8B-Instruct,NPO+KL,harry_potter,0.178,,False,0.867,0.552,0.945,0.488,-0.120,1.000,0.389
Meta-Llama-3-8B-Instruct,RMU,harry_potter,0.063,,True,0.856,0.595,0.896,0.444,-0.040,1.000,0.862
