model_id,hp_qa,tofu_qa,Batch_SecondMoment_TopEig_hp,Batch_SecondMoment_TopEig_tofu,Batch_Cov_TopEig_hp,Batch_Cov_TopEig_tofu,Centroid_Norm_hp,Centroid_Norm_tofu,AUSS_Jac_hp,AUSS_Jac_tofu,Global_Coherence_hp,Global_Coherence_tofu,AUSS_Cos2_hp,AUSS_Cos2_tofu,Batch_Cov_Trace_hp,Batch_Cov_Trace_tofu,AUSS_L2_hp,AUSS_L2_tofu
Qwen/Qwen-14B-Chat,0.0,0.0,0.7683049043019613,0.8688545823097229,0.09741861621538798,0.026836345593134563,0.8732441266377767,0.9319934646288554,0.7962888814757463,0.5589327818721569,0.8732442657152811,0.9319934248924255,0.4395815034707387,0.26987357934316,0.2373131513595581,0.13138815760612488,0.5273625751336416,0.29197368025779724
Qwen/Qwen-7B-Chat,0.0,0.0,0.7768436074256897,0.8688764572143555,0.09129645178715388,0.02662586172421773,0.8785111904144287,0.9320022662480673,0.7784457087187121,0.47945915014509627,0.8785111308097839,0.9320021669069926,0.4265029231707255,0.2698334256807963,0.2281133532524109,0.13137095173199972,0.5069185495376587,0.29193544387817383
Qwen/Qwen2.5-14B-Instruct,0.3125,0.0,0.7688421607017517,0.882505198319753,0.0965475191672643,0.023696452379226685,0.8734752337137858,0.9393365581830343,0.7443730271598231,0.45656791807478886,0.873475193977356,0.9393365581830343,0.4391418894131978,0.24378628035386404,0.23696947594483694,0.11764612793922424,0.5265988906224569,0.26143595576286316
Qwen/Qwen2.5-7B-Instruct,0.28125,0.0,0.7661142349243164,0.8809134364128113,0.09881263722976048,0.023919576158126194,0.872061014175415,0.9384874502817789,0.7738180544057746,0.5074981877278751,0.8720609943072001,0.9384873509407043,0.44284478823343915,0.246859739224116,0.23937654495239258,0.11924068381388982,0.5319479703903198,0.26497923334439594
google/gemma-2b-it,0.041666666666666664,0.0,0.9121552308400472,0.983638068040212,0.050004745523134865,0.007114199145386617,0.9547867178916931,0.9917817910512289,0.5340659262695967,0.1672984342953383,0.9547867774963379,0.9917817711830139,0.20558963219324747,0.040468948582808174,0.08829799791177113,0.016368774076302845,0.22074500223000845,0.04092188676198324
google/gemma-7b-it,0.09375,0.0,0.8330159783363342,0.9683037002881368,0.06343182176351547,0.009558887220919132,0.911282499631246,0.984013299147288,0.545081710828362,0.20594327095875062,0.9112824201583862,0.9840133388837179,0.3324487904707591,0.06913141161203384,0.16954596837361655,0.03171771578490734,0.3767688075701396,0.070483793814977
meta-llama/Llama-2-13b-chat-hf,0.21875,0.0,0.745981752872467,0.8594126303990682,0.10147011280059814,0.025745699803034466,0.8599139849344889,0.9269598325093588,0.8272514114858938,0.762664092161983,0.8599141041437784,0.9269597133000692,0.4751168092091878,0.28772815068562824,0.2604164679845174,0.14074504872163138,0.5787032643953959,0.3127667009830475
meta-llama/Llama-2-7b-chat-hf,0.13541666666666666,0.0,0.7505193948745728,0.8610453406969706,0.10211528092622757,0.02483440190553665,0.8623613317807516,0.9278467098871866,0.8523051654843301,0.7404635988970908,0.8623613516489664,0.9278467098871866,0.4677419662475586,0.28469566504160565,0.256194606423378,0.13910030325253805,0.569321354230245,0.3091117938359578
meta-llama/Meta-Llama-3-8B-Instruct,0.3125,0.0,0.7581581672032675,0.8569681843121847,0.10036847492059071,0.02781203327079614,0.8671500484148661,0.9255905548731486,0.8377313871182185,0.5457117708500849,0.8671501874923706,0.9255905548731486,0.4556926687558492,0.2922498881816864,0.2479060689608256,0.14328214029471079,0.5509022871653239,0.318404754002889
meta-llama/Meta-Llama-3.1-8B-Instruct,0.21875,0.0,0.7623845736185709,0.8563828667004904,0.09894479562838872,0.027931835502386093,0.8697124918301901,0.9252697229385376,0.8276484137623131,0.5809024257784834,0.8697125911712646,0.9252698024113973,0.44902796546618146,0.29333873589833576,0.2434555639823278,0.14387582739194235,0.5410123467445374,0.3197241226832072
