layer,metric,attack,rho,pval,n,family
0,Centroid_Norm,Steering,-0.15384615384615385,0.6330906812462618,12,auss
0,Centroid_Norm,ICL,0.5182002205050367,0.08436211791688125,12,auss
0,Centroid_Norm,GCG,0.6994565338373893,0.011348076764265028,12,auss
0,Centroid_Norm,MIA,0.3216783216783217,0.30790987618065263,12,auss
0,Global_Coherence,Steering,-0.15384615384615385,0.6330906812462618,12,auss
0,Global_Coherence,ICL,0.5182002205050367,0.08436211791688125,12,auss
0,Global_Coherence,GCG,0.6994565338373893,0.011348076764265028,12,auss
0,Global_Coherence,MIA,0.3216783216783217,0.30790987618065263,12,auss
0,Batch_SecondMoment_TopEig,Steering,-0.15384615384615385,0.6330906812462618,12,auss
0,Batch_SecondMoment_TopEig,ICL,0.5182002205050367,0.08436211791688125,12,auss
0,Batch_SecondMoment_TopEig,GCG,0.6994565338373893,0.011348076764265028,12,auss
0,Batch_SecondMoment_TopEig,MIA,0.3216783216783217,0.30790987618065263,12,auss
0,AUSS_L2,Steering,0.15384615384615385,0.6330906812462618,12,auss
0,AUSS_L2,ICL,-0.5182002205050367,0.08436211791688125,12,auss
0,AUSS_L2,GCG,-0.6994565338373893,0.011348076764265028,12,auss
0,AUSS_L2,MIA,-0.3216783216783217,0.30790987618065263,12,auss
0,AUSS_Cos2,Steering,0.15384615384615385,0.6330906812462618,12,auss
0,AUSS_Cos2,ICL,-0.5182002205050367,0.08436211791688125,12,auss
0,AUSS_Cos2,GCG,-0.6994565338373893,0.011348076764265028,12,auss
0,AUSS_Cos2,MIA,-0.3216783216783217,0.30790987618065263,12,auss
0,AUSS_Jac,Steering,0.09859399412855982,0.7604837400712293,12,auss
0,AUSS_Jac,ICL,-0.5907193105983949,0.04312964327820212,12,auss
0,AUSS_Jac,GCG,-0.4374693190784603,0.1549646029430232,12,auss
0,AUSS_Jac,MIA,0.14084856304079976,0.6623867956109181,12,auss
0,Batch_Cov_Trace,Steering,0.15384615384615385,0.6330906812462618,12,auss
0,Batch_Cov_Trace,ICL,-0.5182002205050367,0.08436211791688125,12,auss
0,Batch_Cov_Trace,GCG,-0.6994565338373893,0.011348076764265028,12,auss
0,Batch_Cov_Trace,MIA,-0.3216783216783217,0.30790987618065263,12,auss
0,Batch_Cov_TopEig,Steering,0.08391608391608392,0.7954145018538977,12,auss
0,Batch_Cov_TopEig,ICL,-0.5074043825778483,0.09220241773227436,12,auss
0,Batch_Cov_TopEig,GCG,-0.670005732412657,0.017129817079404436,12,auss
0,Batch_Cov_TopEig,MIA,-0.25874125874125875,0.41677476889913834,12,auss
0,Reg_S_alpha_2,Steering,0.11188811188811189,0.729194990751066,12,entropy
0,Reg_S_alpha_2,ICL,-0.17273340683501218,0.5913771465591904,12,entropy
0,Reg_S_alpha_2,GCG,0.40494851959006745,0.191611357379026,12,entropy
0,Reg_S_alpha_2,MIA,0.0,1.0,12,entropy
0,Reg_MeanCos,Steering,-0.11188811188811189,0.729194990751066,12,entropy
0,Reg_MeanCos,ICL,0.17273340683501218,0.5913771465591904,12,entropy
0,Reg_MeanCos,GCG,-0.40494851959006745,0.191611357379026,12,entropy
0,Reg_MeanCos,MIA,0.0,1.0,12,entropy
0,Reg_MeanL2,Steering,-0.09090909090909093,0.7787253962454419,12,entropy
0,Reg_MeanL2,ICL,-0.24110704704053787,0.450300879899572,12,entropy
0,Reg_MeanL2,GCG,0.40494851959006745,0.191611357379026,12,entropy
0,Reg_MeanL2,MIA,0.44755244755244755,0.14458630130334754,12,entropy
0,AnonDiff_S_alpha_2,Steering,0.2937062937062937,0.35414764123292175,12,entropy
0,AnonDiff_S_alpha_2,ICL,-0.7665044928303666,0.003636747392027501,12,entropy
0,AnonDiff_S_alpha_2,GCG,-0.670005732412657,0.017129817079404436,12,entropy
0,AnonDiff_S_alpha_2,MIA,0.17482517482517487,0.5868236643627043,12,entropy
0,AnonDiff_MeanCos,Steering,-0.1958041958041958,0.5419358857313175,12,entropy
0,AnonDiff_MeanCos,ICL,0.5829752480681661,0.04665076405445745,12,entropy
0,AnonDiff_MeanCos,GCG,0.46385012243953183,0.1287777412760693,12,entropy
0,AnonDiff_MeanCos,MIA,-0.5104895104895105,0.08991373630263913,12,entropy
0,AnonDiff_MeanL2,Steering,-0.25874125874125875,0.41677476889913834,12,entropy
0,AnonDiff_MeanL2,ICL,0.3526640389548166,0.26085771567312754,12,entropy
0,AnonDiff_MeanL2,GCG,0.6994565338373893,0.011348076764265028,12,entropy
0,AnonDiff_MeanL2,MIA,-0.16083916083916086,0.6175234895401425,12,entropy
0,NormAnonDiff_S_alpha_2,Steering,0.2517482517482518,0.42991878503288405,12,entropy
0,NormAnonDiff_S_alpha_2,ICL,-0.7557086549031783,0.004469675250900888,12,entropy
0,NormAnonDiff_S_alpha_2,GCG,-0.6405549309879249,0.024826803450100885,12,entropy
