model_id,model_short,method,concept,forget_rouge,retain_rouge,base_retain_rouge,qa_accuracy,Centroid_Norm,Global_Coherence,Batch_SecondMoment_TopEig,AUSS_L2,AUSS_Cos2,AUSS_Jac,Batch_Cov_Trace,Batch_Cov_TopEig,has_metrics,Reg_S_alpha_2,Reg_MeanCos,Reg_MeanL2,AnonDiff_S_alpha_2,AnonDiff_MeanL2,AnonDiff_MeanCos,attack_Steering,attack_ICL,attack_GCG,attack_MIA,attack_Steering_ASR,attack_Steering_retain_wf,has_attacks,verified
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,Base,harry_potter,0.1308,,,0.6500,0.8785,0.8785,0.7732,0.5073,0.4392,0.7885,0.2283,0.0505,True,0.9279,0.7095,46.1513,1.9860,13.5342,0.3432,0.4280,0.0000,0.0000,0.8272,0.2653,,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,Base,star_wars,0.1517,,,0.5000,0.8763,0.8763,0.7686,0.5160,0.4466,0.7775,0.2322,0.0568,True,1.0157,0.6846,46.2145,2.1950,9.9329,0.2867,0.4488,0.1200,0.0000,0.9552,0.2960,,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,Base,william_shakespeare,0.0900,,,0.6000,0.9107,0.9107,0.8300,0.3791,0.3412,0.7472,0.1706,0.0378,True,0.9829,0.7019,42.5764,1.8417,13.8747,0.4174,0.5032,0.0400,0.0000,0.8368,0.2738,,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,GradAscent,harry_potter,0.1007,0.0000,0.0000,0.6250,0.8937,0.8937,0.8018,0.4472,0.3890,0.6909,0.2012,0.0674,True,0.9937,0.7057,0.1548,0.8658,0.0531,0.5732,0.6632,0.0000,0.6000,0.7672,0.2789,0.0822,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,GradAscent,star_wars,0.0000,0.0000,0.0000,0.0000,0.8750,0.8750,0.7676,0.5209,0.4420,0.7411,0.2344,0.0982,True,1.1680,0.6715,0.1626,0.6798,0.0439,0.5304,0.5000,0.0000,0.0000,1.0000,0.0000,0.0000,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,GradAscent,william_shakespeare,0.0000,0.0000,0.0000,0.0000,0.8550,0.8550,0.7382,0.5977,0.4755,0.7105,0.2690,0.1575,True,0.9777,0.7114,0.1533,0.5913,0.0605,0.7066,0.0200,0.0000,0.0000,1.0000,0.0000,0.0483,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,DPO,harry_potter,0.0820,0.0000,0.0000,0.7500,0.8677,0.8677,0.7546,0.5493,0.4689,0.7918,0.2472,0.0606,True,0.9938,0.7056,0.1548,0.8657,0.0531,0.5732,0.6944,-0.0400,0.8000,0.7352,0.2831,0.0749,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,DPO,star_wars,0.0983,0.0000,0.0000,1.0000,0.8663,0.8663,0.7515,0.5544,0.4741,0.7858,0.2495,0.0598,True,1.1686,0.6714,0.1625,0.6798,0.0439,0.5304,0.6728,0.0400,0.8000,0.9344,0.2806,0.1070,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,DPO,william_shakespeare,0.0918,0.0000,0.0000,0.7500,0.9127,0.9127,0.8337,0.3712,0.3346,0.7761,0.1671,0.0385,True,0.9781,0.7113,0.1532,0.5914,0.0605,0.7066,0.6584,0.0800,1.0000,0.7432,0.2869,0.0878,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,NPO,harry_potter,0.1273,0.0000,0.0000,0.7500,0.8597,0.8597,0.7408,0.5796,0.4916,0.7834,0.2608,0.0528,True,0.9938,0.7056,0.1548,0.8657,0.0531,0.5732,0.7560,0.0000,0.6000,0.8176,0.2858,0.0595,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,NPO,star_wars,0.1079,0.0000,0.0000,1.0000,0.8769,0.8769,0.7696,0.5133,0.4460,0.7922,0.2310,0.0370,True,1.1684,0.6714,0.1626,0.6798,0.0439,0.5304,0.6680,0.0400,1.0000,0.9192,0.2812,0.0939,True,False
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,NPO,william_shakespeare,0.0917,0.0000,0.0000,0.7500,0.9219,0.9219,0.8510,0.3334,0.3030,0.7200,0.1500,0.0375,True,0.9781,0.7113,0.1532,0.5914,0.0605,0.7066,0.7952,0.0400,1.0000,0.8032,0.2952,0.0792,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,NPO+KL,harry_potter,0.0975,0.0000,0.0000,0.7500,0.8537,0.8537,0.7308,0.6025,0.5071,0.8169,0.2711,0.0563,True,0.9938,0.7056,0.1548,0.8657,0.0531,0.5732,0.7608,-0.0400,0.6000,0.8880,0.2610,0.0503,True,True
meta-llama/Llama-2-7b-chat-hf,Llama-2-7b-chat-hf,NPO+KL,star_wars,0.1046,0.0000,0.0000,1.0000,0.8674,0.8674,0.7530,0.5503,0.4730,0.8268,0.2477,0.0415,True,1.1684,0.6714,0.1626,0.6797,0.0439,0.5304,0.7688,0.0000,0.6000,0.9760,0.2774,0.0762,True,False
