Model,Method,Concept,Forget ROUGE↓,Retain ROUGE↑,✓,Centroid_Norm↓,AUSS_L2↑,Steering AUC↓,Steering ASR↓,ICL Acc↓,GCG Acc↓,MIA AUC↓
Llama-2-7b-chat-hf,Base,harry_potter,0.131,,False,0.878,0.507,0.428,0.265,0.000,0.000,0.827
Llama-2-7b-chat-hf,GradAscent,harry_potter,0.101,0.000,False,0.894,0.447,0.663,0.279,0.000,0.600,0.767
Llama-2-7b-chat-hf,DPO,harry_potter,0.082,0.000,True,0.868,0.549,0.694,0.283,-0.040,0.800,0.735
Llama-2-7b-chat-hf,NPO,harry_potter,0.127,0.000,False,0.860,0.580,0.756,0.286,0.000,0.600,0.818
Llama-2-7b-chat-hf,NPO+KL,harry_potter,0.098,0.000,True,0.854,0.602,0.761,0.261,-0.040,0.600,0.888
Llama-2-7b-chat-hf,RMU,harry_potter,0.131,,False,0.878,0.509,0.682,0.264,0.000,1.000,0.825
Llama-2-7b-chat-hf,WHP,harry_potter,0.255,,False,0.858,0.585,0.765,0.244,-0.040,0.000,0.903
Llama-2-7b-chat-hf,Base,star_wars,0.152,,False,0.876,0.516,0.449,0.296,0.120,0.000,0.955
Llama-2-7b-chat-hf,GradAscent,star_wars,0.000,0.000,True,0.875,0.521,0.500,0.000,0.000,0.000,1.000
Llama-2-7b-chat-hf,DPO,star_wars,0.098,0.000,True,0.866,0.554,0.673,0.281,0.040,0.800,0.934
Llama-2-7b-chat-hf,NPO,star_wars,0.108,0.000,False,0.877,0.513,0.668,0.281,0.040,1.000,0.919
Llama-2-7b-chat-hf,NPO+KL,star_wars,0.105,0.000,False,0.867,0.550,0.769,0.277,0.000,0.600,0.976
Llama-2-7b-chat-hf,RMU,star_wars,0.143,,False,0.876,0.519,0.702,0.297,0.040,1.000,0.955
Llama-2-7b-chat-hf,WHP,star_wars,0.175,,False,0.856,0.595,0.706,0.266,0.000,0.000,0.978
Llama-2-7b-chat-hf,Base,william_shakespeare,0.090,,False,0.911,0.379,0.503,0.274,0.040,0.000,0.837
Llama-2-7b-chat-hf,GradAscent,william_shakespeare,0.000,0.000,True,0.855,0.598,0.020,0.000,0.000,0.000,1.000
Llama-2-7b-chat-hf,DPO,william_shakespeare,0.092,0.000,True,0.913,0.371,0.658,0.287,0.080,1.000,0.743
Llama-2-7b-chat-hf,NPO,william_shakespeare,0.092,0.000,True,0.922,0.333,0.795,0.295,0.040,1.000,0.803
Llama-2-7b-chat-hf,NPO+KL,william_shakespeare,0.091,0.000,True,0.917,0.354,0.831,0.287,0.040,1.000,0.893
Llama-2-7b-chat-hf,RMU,william_shakespeare,0.100,,True,0.908,0.388,0.739,0.266,0.080,1.000,0.839
Llama-2-7b-chat-hf,WHP,william_shakespeare,0.135,,False,0.917,0.353,0.834,0.288,0.040,0.000,0.897
Meta-Llama-3-8B-Instruct,Base,harry_potter,0.062,,False,0.856,0.594,0.423,0.437,0.000,0.000,0.915
Meta-Llama-3-8B-Instruct,GradAscent,harry_potter,0.000,0.000,True,0.858,0.585,0.500,0.000,0.000,0.000,0.000
Meta-Llama-3-8B-Instruct,DPO,harry_potter,,,False,,,,,,,
Meta-Llama-3-8B-Instruct,NPO,harry_potter,0.123,,False,0.865,0.559,0.925,0.470,-0.040,0.000,0.929
Meta-Llama-3-8B-Instruct,NPO+KL,harry_potter,,,False,,,,,,,
Meta-Llama-3-8B-Instruct,RMU,harry_potter,0.065,,True,0.855,0.598,0.885,0.454,-0.040,0.000,0.908
Meta-Llama-3-8B-Instruct,WHP,harry_potter,0.174,,False,0.859,0.583,0.931,0.481,-0.080,0.000,0.998
Meta-Llama-3-8B-Instruct,Base,star_wars,0.113,,False,0.873,0.529,0.424,0.379,0.040,0.000,0.987
Meta-Llama-3-8B-Instruct,GradAscent,star_wars,0.000,,True,0.904,0.405,0.500,0.000,0.000,0.000,0.000
Meta-Llama-3-8B-Instruct,DPO,star_wars,0.105,,False,0.806,0.778,0.566,0.175,-0.080,0.000,0.991
Meta-Llama-3-8B-Instruct,NPO,star_wars,,,False,,,,,,,
Meta-Llama-3-8B-Instruct,NPO+KL,star_wars,0.151,,False,0.841,0.651,0.850,0.352,-0.080,0.000,0.994
Meta-Llama-3-8B-Instruct,RMU,star_wars,0.114,,False,0.871,0.535,0.840,0.391,0.000,0.000,0.988
Meta-Llama-3-8B-Instruct,WHP,star_wars,0.208,,False,0.860,0.579,0.851,0.379,-0.120,0.000,1.000
Meta-Llama-3-8B-Instruct,Base,william_shakespeare,0.068,,False,0.902,0.416,0.425,0.347,0.040,0.000,0.952
Meta-Llama-3-8B-Instruct,GradAscent,william_shakespeare,0.000,,True,0.870,0.542,0.500,0.000,0.000,0.000,1.000
Meta-Llama-3-8B-Instruct,DPO,william_shakespeare,,,False,,,,,,,
Meta-Llama-3-8B-Instruct,NPO,william_shakespeare,0.089,,True,0.926,0.319,0.756,0.307,0.120,0.000,0.926
Meta-Llama-3-8B-Instruct,NPO+KL,william_shakespeare,,,False,,,,,,,
Meta-Llama-3-8B-Instruct,RMU,william_shakespeare,0.023,,True,0.937,0.273,0.102,0.038,0.000,0.000,0.039
Meta-Llama-3-8B-Instruct,WHP,william_shakespeare,0.103,,False,0.926,0.316,0.855,0.331,0.000,0.000,0.982
Qwen2.5-7B-Instruct,Base,harry_potter,0.106,,False,0.872,0.534,0.433,0.373,0.040,0.000,0.982
Qwen2.5-7B-Instruct,GradAscent,harry_potter,0.000,,True,0.936,0.275,0.500,0.000,0.000,0.000,0.832
Qwen2.5-7B-Instruct,DPO,harry_potter,,,False,,,,,,,
Qwen2.5-7B-Instruct,NPO,harry_potter,0.198,,False,0.863,0.569,0.750,0.372,0.000,1.000,0.967
Qwen2.5-7B-Instruct,NPO+KL,harry_potter,,,False,,,,,,,
Qwen2.5-7B-Instruct,RMU,harry_potter,0.118,,False,0.822,0.719,0.702,0.368,0.000,0.800,0.982
Qwen2.5-7B-Instruct,WHP,harry_potter,0.258,,False,0.864,0.564,0.935,0.306,0.000,0.000,0.988
Qwen2.5-7B-Instruct,Base,star_wars,0.098,,False,0.866,0.557,0.482,0.261,0.080,0.000,0.982
Qwen2.5-7B-Instruct,GradAscent,star_wars,0.000,,True,0.901,0.417,0.500,0.000,0.000,0.000,1.000
Qwen2.5-7B-Instruct,DPO,star_wars,0.116,,False,0.834,0.676,0.661,0.341,0.000,1.000,1.000
Qwen2.5-7B-Instruct,NPO,star_wars,,,False,,,,,,,
