model_id,hp_Reg_S_alpha_2,tofu_Reg_S_alpha_2,hp_Reg_S_alpha_1,tofu_Reg_S_alpha_1,hp_Reg_EffRank,tofu_Reg_EffRank,hp_Reg_MeanL2,tofu_Reg_MeanL2,hp_Reg_MeanCos,tofu_Reg_MeanCos,hp_AnonDiff_S_alpha_2,tofu_AnonDiff_S_alpha_2,hp_AnonDiff_S_alpha_1,tofu_AnonDiff_S_alpha_1,hp_AnonDiff_EffRank,tofu_AnonDiff_EffRank,hp_AnonDiff_MeanL2,tofu_AnonDiff_MeanL2,hp_AnonDiff_MeanCos,tofu_AnonDiff_MeanCos,hp_NormAnonDiff_S_alpha_2,tofu_NormAnonDiff_S_alpha_2,hp_NormAnonDiff_S_alpha_1,tofu_NormAnonDiff_S_alpha_1,hp_NormAnonDiff_EffRank,tofu_NormAnonDiff_EffRank,hp_NormAnonDiff_MeanL2,tofu_NormAnonDiff_MeanL2,hp_NormAnonDiff_MeanCos,tofu_NormAnonDiff_MeanCos
Qwen/Qwen-7B-Chat,0.0071,0.0426,0.0593,0.2639,1.026,1.121,0.2632,0.2147,0.9951,0.9687,3.8077,4.7694,4.4505,5.2946,21.8643,39.2483,20.3518,16.8863,0.1381,0.0976,3.7011,5.145,4.3324,5.6254,20.1456,49.3628,0.9375,0.9,0.1381,0.0976
Qwen/Qwen-14B-Chat,0.0177,0.0898,0.1056,0.3808,1.0579,1.23,0.3262,0.2726,0.9898,0.9539,3.5438,4.7945,4.3631,5.2974,20.5787,39.3258,21.5319,16.7156,0.1658,0.0883,3.7262,5.1136,4.3398,5.6255,20.2498,49.3686,0.9375,0.9,0.1658,0.0883
Qwen/Qwen2.5-7B-Instruct,0.0022,0.0085,0.0142,0.0475,1.0093,1.0304,0.28,0.2582,0.999,0.996,3.7151,4.6135,4.5635,5.2397,23.6464,37.7847,29.5266,24.6526,0.1182,0.1209,3.772,4.9389,4.3092,5.5486,19.8249,46.8053,0.9375,0.9,0.1182,0.1209
Qwen/Qwen2.5-14B-Instruct,0.0022,0.0074,0.0143,0.0424,1.0091,1.0272,0.4267,0.3718,0.999,0.9965,3.8249,4.7426,4.5601,5.3158,23.5904,39.83,37.2289,30.8447,0.1192,0.1323,3.7836,5.0749,4.3394,5.6034,20.244,48.6188,0.9375,0.9,0.1192,0.1323
google/gemma-2b-it,0.3274,0.7565,1.2566,1.4465,2.1058,4.1131,216.8876,218.4489,0.8666,0.8453,3.584,4.0977,4.2625,5.0324,19.1926,32.7271,15.433,12.7118,0.3278,0.0567,3.5184,4.7751,3.9108,4.4133,15.0408,21.3077,0.9375,0.9,0.3278,0.0567
google/gemma-7b-it,0.0532,0.1999,0.2831,0.8652,1.1766,1.6157,194.3304,197.5618,0.9733,0.8951,3.7582,4.3966,4.334,5.1836,20.1677,36.3425,2.4337,1.7899,0.2536,0.1082,3.6224,5.0116,3.7422,4.1703,13.3822,18.0044,0.9375,0.9,0.2536,0.1082
meta-llama/Llama-2-7b-chat-hf,0.0068,0.0321,0.0593,0.2386,1.0264,1.1062,0.2041,0.184,0.9955,0.9752,3.8125,4.5427,4.4492,5.1904,21.8439,36.5146,6.3256,5.3573,0.183,0.0475,3.7025,4.8726,4.3092,5.5804,19.8246,47.8497,0.9375,0.9,0.183,0.0475
meta-llama/Llama-2-13b-chat-hf,0.0552,0.2212,0.3533,1.1203,1.1857,1.715,0.2237,0.1991,0.9674,0.8677,1.6346,2.1055,2.9733,3.7772,7.8531,13.7102,6.896,5.1634,0.2749,0.0436,2.7919,3.2263,4.3134,5.5788,19.8815,47.7942,0.9375,0.9,0.2749,0.0436
meta-llama/Meta-Llama-3-8B-Instruct,0.0453,0.1971,0.296,0.9471,1.1514,1.5977,0.1528,0.1451,0.9728,0.8933,3.7548,4.5799,4.4429,5.2333,21.7493,37.6156,1.954,1.5723,0.2631,0.0722,3.715,4.9825,4.3053,5.6155,19.7702,49.0273,0.9375,0.9,0.2631,0.0722
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0381,0.1676,0.2573,0.8435,1.1275,1.4988,0.171,0.1609,0.9765,0.9067,3.7137,4.543,4.4102,5.2155,21.2623,37.1554,2.4118,2.058,0.2649,0.064,3.691,4.9445,4.3051,5.6166,19.7679,49.0643,0.9375,0.9,0.2649,0.064
